model,signature,kind,T3,detector,is_viyog,dataset
convnextv2_base,Viyog_D*(tv|p5|adapt),Far,0.99,Viyog-D (TV),True,CIFAR-100
convnextv2_base,G_tv_mean,Far,0.976,TV (mean),False,CIFAR-100
convnextv2_base,G_hf_mean,Far,0.955,Viyog-HF,True,CIFAR-100
convnextv2_base,A_inf_norm,Far,0.583,raw L∞,False,CIFAR-100
densenet121,Viyog_D*(tv|p5|adapt),Far,0.98,Viyog-D (TV),True,CIFAR-100
densenet121,G_tv_mean,Far,0.96,TV (mean),False,CIFAR-100
densenet121,G_hf_mean,Far,0.911,Viyog-HF,True,CIFAR-100
densenet121,A_inf_norm,Far,0.549,raw L∞,False,CIFAR-100
densenet161,Viyog_D*(tv|p5|adapt),Far,0.977,Viyog-D (TV),True,CIFAR-100
densenet161,G_tv_mean,Far,0.93,TV (mean),False,CIFAR-100
densenet161,G_hf_mean,Far,0.673,Viyog-HF,True,CIFAR-100
densenet161,A_inf_norm,Far,0.568,raw L∞,False,CIFAR-100
densenet169,Viyog_D*(tv|p5|adapt),Far,0.98,Viyog-D (TV),True,CIFAR-100
densenet169,G_tv_mean,Far,0.934,TV (mean),False,CIFAR-100
densenet169,G_hf_mean,Far,0.775,Viyog-HF,True,CIFAR-100
densenet169,A_inf_norm,Far,0.576,raw L∞,False,CIFAR-100
densenet201,Viyog_D*(tv|p5|adapt),Far,0.981,Viyog-D (TV),True,CIFAR-100
densenet201,G_tv_mean,Far,0.915,TV (mean),False,CIFAR-100
densenet201,G_hf_mean,Far,0.66,Viyog-HF,True,CIFAR-100
densenet201,A_inf_norm,Far,0.574,raw L∞,False,CIFAR-100
edgenext_small,Viyog_D*(tv|p5|adapt),Far,0.96,Viyog-D (TV),True,CIFAR-100
edgenext_small,G_tv_mean,Far,0.969,TV (mean),False,CIFAR-100
edgenext_small,G_hf_mean,Far,0.934,Viyog-HF,True,CIFAR-100
edgenext_small,A_inf_norm,Far,0.501,raw L∞,False,CIFAR-100
efficientnetv2_l,Viyog_D*(tv|p5|adapt),Far,0.943,Viyog-D (TV),True,CIFAR-100
efficientnetv2_l,G_tv_mean,Far,0.963,TV (mean),False,CIFAR-100
efficientnetv2_l,G_hf_mean,Far,0.931,Viyog-HF,True,CIFAR-100
efficientnetv2_l,A_inf_norm,Far,0.559,raw L∞,False,CIFAR-100
efficientvit_b1,Viyog_D*(tv|p5|adapt),Far,0.984,Viyog-D (TV),True,CIFAR-100
efficientvit_b1,G_tv_mean,Far,0.986,TV (mean),False,CIFAR-100
efficientvit_b1,G_hf_mean,Far,0.973,Viyog-HF,True,CIFAR-100
efficientvit_b1,A_inf_norm,Far,0.558,raw L∞,False,CIFAR-100
effnet_lite0,Viyog_D*(tv|p5|adapt),Far,0.972,Viyog-D (TV),True,CIFAR-100
effnet_lite0,G_tv_mean,Far,0.972,TV (mean),False,CIFAR-100
effnet_lite0,G_hf_mean,Far,0.952,Viyog-HF,True,CIFAR-100
effnet_lite0,A_inf_norm,Far,0.509,raw L∞,False,CIFAR-100
fastvit_sa12,Viyog_D*(tv|p5|adapt),Far,0.763,Viyog-D (TV),True,CIFAR-100
fastvit_sa12,G_tv_mean,Far,0.734,TV (mean),False,CIFAR-100
fastvit_sa12,G_hf_mean,Far,0.92,Viyog-HF,True,CIFAR-100
fastvit_sa12,A_inf_norm,Far,0.557,raw L∞,False,CIFAR-100
mobilenetv3_l,Viyog_D*(tv|p5|adapt),Far,0.965,Viyog-D (TV),True,CIFAR-100
mobilenetv3_l,G_tv_mean,Far,0.978,TV (mean),False,CIFAR-100
mobilenetv3_l,G_hf_mean,Far,0.96,Viyog-HF,True,CIFAR-100
mobilenetv3_l,A_inf_norm,Far,0.559,raw L∞,False,CIFAR-100
mobilenetv4_m,Viyog_D*(tv|p5|adapt),Far,0.976,Viyog-D (TV),True,CIFAR-100
mobilenetv4_m,G_tv_mean,Far,0.984,TV (mean),False,CIFAR-100
mobilenetv4_m,G_hf_mean,Far,0.972,Viyog-HF,True,CIFAR-100
mobilenetv4_m,A_inf_norm,Far,0.546,raw L∞,False,CIFAR-100
resnet101,Viyog_D*(tv|p5|adapt),Far,0.983,Viyog-D (TV),True,CIFAR-100
resnet101,G_tv_mean,Far,0.956,TV (mean),False,CIFAR-100
resnet101,G_hf_mean,Far,0.833,Viyog-HF,True,CIFAR-100
resnet101,A_inf_norm,Far,0.539,raw L∞,False,CIFAR-100
resnet152,Viyog_D*(tv|p5|adapt),Far,0.982,Viyog-D (TV),True,CIFAR-100
resnet152,G_tv_mean,Far,0.915,TV (mean),False,CIFAR-100
resnet152,G_hf_mean,Far,0.716,Viyog-HF,True,CIFAR-100
resnet152,A_inf_norm,Far,0.522,raw L∞,False,CIFAR-100
resnet50,Viyog_D*(tv|p5|adapt),Far,0.982,Viyog-D (TV),True,CIFAR-100
resnet50,G_tv_mean,Far,0.969,TV (mean),False,CIFAR-100
resnet50,G_hf_mean,Far,0.909,Viyog-HF,True,CIFAR-100
resnet50,A_inf_norm,Far,0.54,raw L∞,False,CIFAR-100
swin_tiny,Viyog_D*(tv|p5|adapt),Far,0.981,Viyog-D (TV),True,CIFAR-100
swin_tiny,G_tv_mean,Far,0.977,TV (mean),False,CIFAR-100
swin_tiny,G_hf_mean,Far,0.958,Viyog-HF,True,CIFAR-100
swin_tiny,A_inf_norm,Far,0.652,raw L∞,False,CIFAR-100
vit_base,Viyog_D*(tv|p5|adapt),Far,0.947,Viyog-D (TV),True,CIFAR-100
vit_base,G_tv_mean,Far,0.845,TV (mean),False,CIFAR-100
vit_base,G_hf_mean,Far,0.687,Viyog-HF,True,CIFAR-100
vit_base,A_inf_norm,Far,0.514,raw L∞,False,CIFAR-100
convnextv2_base,Viyog_D*(tv|p5|adapt),Near,0.942,Viyog-D (TV),True,CIFAR-100
convnextv2_base,G_tv_mean,Near,0.554,TV (mean),False,CIFAR-100
convnextv2_base,G_hf_mean,Near,0.718,Viyog-HF,True,CIFAR-100
convnextv2_base,A_inf_norm,Near,0.684,raw L∞,False,CIFAR-100
densenet121,Viyog_D*(tv|p5|adapt),Near,0.622,Viyog-D (TV),True,CIFAR-100
densenet121,G_tv_mean,Near,0.522,TV (mean),False,CIFAR-100
densenet121,G_hf_mean,Near,0.631,Viyog-HF,True,CIFAR-100
densenet121,A_inf_norm,Near,0.81,raw L∞,False,CIFAR-100
densenet161,Viyog_D*(tv|p5|adapt),Near,0.661,Viyog-D (TV),True,CIFAR-100
densenet161,G_tv_mean,Near,0.647,TV (mean),False,CIFAR-100
densenet161,G_hf_mean,Near,0.722,Viyog-HF,True,CIFAR-100
densenet161,A_inf_norm,Near,0.804,raw L∞,False,CIFAR-100
densenet169,Viyog_D*(tv|p5|adapt),Near,0.74,Viyog-D (TV),True,CIFAR-100
densenet169,G_tv_mean,Near,0.638,TV (mean),False,CIFAR-100
densenet169,G_hf_mean,Near,0.693,Viyog-HF,True,CIFAR-100
densenet169,A_inf_norm,Near,0.812,raw L∞,False,CIFAR-100
densenet201,Viyog_D*(tv|p5|adapt),Near,0.79,Viyog-D (TV),True,CIFAR-100
densenet201,G_tv_mean,Near,0.654,TV (mean),False,CIFAR-100
densenet201,G_hf_mean,Near,0.707,Viyog-HF,True,CIFAR-100
densenet201,A_inf_norm,Near,0.813,raw L∞,False,CIFAR-100
edgenext_small,Viyog_D*(tv|p5|adapt),Near,0.591,Viyog-D (TV),True,CIFAR-100
edgenext_small,G_tv_mean,Near,0.583,TV (mean),False,CIFAR-100
edgenext_small,G_hf_mean,Near,0.735,Viyog-HF,True,CIFAR-100
edgenext_small,A_inf_norm,Near,0.567,raw L∞,False,CIFAR-100
efficientnetv2_l,Viyog_D*(tv|p5|adapt),Near,0.75,Viyog-D (TV),True,CIFAR-100
efficientnetv2_l,G_tv_mean,Near,0.693,TV (mean),False,CIFAR-100
efficientnetv2_l,G_hf_mean,Near,0.594,Viyog-HF,True,CIFAR-100
efficientnetv2_l,A_inf_norm,Near,0.716,raw L∞,False,CIFAR-100
efficientvit_b1,Viyog_D*(tv|p5|adapt),Near,0.745,Viyog-D (TV),True,CIFAR-100
efficientvit_b1,G_tv_mean,Near,0.716,TV (mean),False,CIFAR-100
efficientvit_b1,G_hf_mean,Near,0.564,Viyog-HF,True,CIFAR-100
efficientvit_b1,A_inf_norm,Near,0.585,raw L∞,False,CIFAR-100
effnet_lite0,Viyog_D*(tv|p5|adapt),Near,0.643,Viyog-D (TV),True,CIFAR-100
effnet_lite0,G_tv_mean,Near,0.613,TV (mean),False,CIFAR-100
effnet_lite0,G_hf_mean,Near,0.509,Viyog-HF,True,CIFAR-100
effnet_lite0,A_inf_norm,Near,0.57,raw L∞,False,CIFAR-100
fastvit_sa12,Viyog_D*(tv|p5|adapt),Near,0.552,Viyog-D (TV),True,CIFAR-100
fastvit_sa12,G_tv_mean,Near,0.581,TV (mean),False,CIFAR-100
fastvit_sa12,G_hf_mean,Near,0.651,Viyog-HF,True,CIFAR-100
fastvit_sa12,A_inf_norm,Near,0.612,raw L∞,False,CIFAR-100
mobilenetv3_l,Viyog_D*(tv|p5|adapt),Near,0.777,Viyog-D (TV),True,CIFAR-100
mobilenetv3_l,G_tv_mean,Near,0.67,TV (mean),False,CIFAR-100
