dataset,model,method,detector,is_viyog,T3
CIFAR-100,convnextv2_base,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.5384
CIFAR-100,convnextv2_base,ViyogD_tv_dorm,Viyog-D (TV),True,0.9409
CIFAR-100,convnextv2_base,ViyogD_hf_dorm,Viyog-HF,True,0.9081
CIFAR-100,convnextv2_base,MSP,MSP,False,0.8163
CIFAR-100,convnextv2_base,MaxLogit,MaxLogit,False,0.8184
CIFAR-100,convnextv2_base,Energy,Energy,False,0.8111
CIFAR-100,convnextv2_base,Entropy,Entropy,False,0.8205
CIFAR-100,convnextv2_base,GEN,GEN,False,0.8236
CIFAR-100,convnextv2_base,KLMatching,KL-Matching,False,0.8193
CIFAR-100,densenet121,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.6672
CIFAR-100,densenet121,ViyogD_tv_dorm,Viyog-D (TV),True,0.8038
CIFAR-100,densenet121,ViyogD_hf_dorm,Viyog-HF,True,0.6916
CIFAR-100,densenet121,MSP,MSP,False,0.8436
CIFAR-100,densenet121,MaxLogit,MaxLogit,False,0.8379
CIFAR-100,densenet121,Energy,Energy,False,0.8355
CIFAR-100,densenet121,Entropy,Entropy,False,0.8446
CIFAR-100,densenet121,GEN,GEN,False,0.8407
CIFAR-100,densenet121,KLMatching,KL-Matching,False,0.8443
CIFAR-100,densenet161,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.674
CIFAR-100,densenet161,ViyogD_tv_dorm,Viyog-D (TV),True,0.7714
CIFAR-100,densenet161,ViyogD_hf_dorm,Viyog-HF,True,0.5457
CIFAR-100,densenet161,MSP,MSP,False,0.8235
CIFAR-100,densenet161,MaxLogit,MaxLogit,False,0.8061
CIFAR-100,densenet161,Energy,Energy,False,0.7951
CIFAR-100,densenet161,Entropy,Entropy,False,0.8327
CIFAR-100,densenet161,GEN,GEN,False,0.8408
CIFAR-100,densenet161,KLMatching,KL-Matching,False,0.8319
CIFAR-100,densenet169,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.6821
CIFAR-100,densenet169,ViyogD_tv_dorm,Viyog-D (TV),True,0.8368
CIFAR-100,densenet169,ViyogD_hf_dorm,Viyog-HF,True,0.8076
CIFAR-100,densenet169,MSP,MSP,False,0.8044
CIFAR-100,densenet169,MaxLogit,MaxLogit,False,0.7864
CIFAR-100,densenet169,Energy,Energy,False,0.7776
CIFAR-100,densenet169,Entropy,Entropy,False,0.8142
CIFAR-100,densenet169,GEN,GEN,False,0.8265
CIFAR-100,densenet169,KLMatching,KL-Matching,False,0.8143
CIFAR-100,densenet201,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.6813
CIFAR-100,densenet201,ViyogD_tv_dorm,Viyog-D (TV),True,0.8702
CIFAR-100,densenet201,ViyogD_hf_dorm,Viyog-HF,True,0.7595
CIFAR-100,densenet201,MSP,MSP,False,0.7806
CIFAR-100,densenet201,MaxLogit,MaxLogit,False,0.7446
CIFAR-100,densenet201,Energy,Energy,False,0.7355
CIFAR-100,densenet201,Entropy,Entropy,False,0.7901
CIFAR-100,densenet201,GEN,GEN,False,0.8032
CIFAR-100,densenet201,KLMatching,KL-Matching,False,0.7907
CIFAR-100,edgenext_small,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.5246
CIFAR-100,edgenext_small,ViyogD_tv_dorm,Viyog-D (TV),True,0.803
CIFAR-100,edgenext_small,ViyogD_hf_dorm,Viyog-HF,True,0.7231
CIFAR-100,edgenext_small,MSP,MSP,False,0.8201
CIFAR-100,edgenext_small,MaxLogit,MaxLogit,False,0.8303
CIFAR-100,edgenext_small,Energy,Energy,False,0.839
CIFAR-100,edgenext_small,Entropy,Entropy,False,0.8286
CIFAR-100,edgenext_small,GEN,GEN,False,0.8375
CIFAR-100,edgenext_small,KLMatching,KL-Matching,False,0.8263
CIFAR-100,efficientnetv2_l,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.5687
CIFAR-100,efficientnetv2_l,ViyogD_tv_dorm,Viyog-D (TV),True,0.8717
CIFAR-100,efficientnetv2_l,ViyogD_hf_dorm,Viyog-HF,True,0.8445
CIFAR-100,efficientnetv2_l,MSP,MSP,False,0.737
CIFAR-100,efficientnetv2_l,MaxLogit,MaxLogit,False,0.7533
CIFAR-100,efficientnetv2_l,Energy,Energy,False,0.756
CIFAR-100,efficientnetv2_l,Entropy,Entropy,False,0.742
CIFAR-100,efficientnetv2_l,GEN,GEN,False,0.746
CIFAR-100,efficientnetv2_l,KLMatching,KL-Matching,False,0.7403
CIFAR-100,efficientvit_b1,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.5642
CIFAR-100,efficientvit_b1,ViyogD_tv_dorm,Viyog-D (TV),True,0.8554
CIFAR-100,efficientvit_b1,ViyogD_hf_dorm,Viyog-HF,True,0.8112
CIFAR-100,efficientvit_b1,MSP,MSP,False,0.639
CIFAR-100,efficientvit_b1,MaxLogit,MaxLogit,False,0.6475
CIFAR-100,efficientvit_b1,Energy,Energy,False,0.6795
CIFAR-100,efficientvit_b1,Entropy,Entropy,False,0.64
CIFAR-100,efficientvit_b1,GEN,GEN,False,0.6477
CIFAR-100,efficientvit_b1,KLMatching,KL-Matching,False,0.6412
CIFAR-100,effnet_lite0,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.5323
CIFAR-100,effnet_lite0,ViyogD_tv_dorm,Viyog-D (TV),True,0.8268
CIFAR-100,effnet_lite0,ViyogD_hf_dorm,Viyog-HF,True,0.748
CIFAR-100,effnet_lite0,MSP,MSP,False,0.8208
CIFAR-100,effnet_lite0,MaxLogit,MaxLogit,False,0.8367
CIFAR-100,effnet_lite0,Energy,Energy,False,0.8465
CIFAR-100,effnet_lite0,Entropy,Entropy,False,0.8532
CIFAR-100,effnet_lite0,GEN,GEN,False,0.8893
CIFAR-100,effnet_lite0,KLMatching,KL-Matching,False,0.8605
CIFAR-100,fastvit_sa12,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.5759
CIFAR-100,fastvit_sa12,ViyogD_tv_dorm,Viyog-D (TV),True,0.6524
CIFAR-100,fastvit_sa12,ViyogD_hf_dorm,Viyog-HF,True,0.6461
CIFAR-100,fastvit_sa12,MSP,MSP,False,0.542
CIFAR-100,fastvit_sa12,MaxLogit,MaxLogit,False,0.5094
CIFAR-100,fastvit_sa12,Energy,Energy,False,0.5149
CIFAR-100,fastvit_sa12,Entropy,Entropy,False,0.5841
CIFAR-100,fastvit_sa12,GEN,GEN,False,0.6376
CIFAR-100,fastvit_sa12,KLMatching,KL-Matching,False,0.5844
CIFAR-100,mobilenetv3_l,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.5263
CIFAR-100,mobilenetv3_l,ViyogD_tv_dorm,Viyog-D (TV),True,0.8633
CIFAR-100,mobilenetv3_l,ViyogD_hf_dorm,Viyog-HF,True,0.7471
CIFAR-100,mobilenetv3_l,MSP,MSP,False,0.7349
CIFAR-100,mobilenetv3_l,MaxLogit,MaxLogit,False,0.7383
CIFAR-100,mobilenetv3_l,Energy,Energy,False,0.7382
CIFAR-100,mobilenetv3_l,Entropy,Entropy,False,0.7356
CIFAR-100,mobilenetv3_l,GEN,GEN,False,0.7489
CIFAR-100,mobilenetv3_l,KLMatching,KL-Matching,False,0.7378
CIFAR-100,mobilenetv4_m,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.5544
CIFAR-100,mobilenetv4_m,ViyogD_tv_dorm,Viyog-D (TV),True,0.9523
CIFAR-100,mobilenetv4_m,ViyogD_hf_dorm,Viyog-HF,True,0.9189
CIFAR-100,mobilenetv4_m,MSP,MSP,False,0.7452
CIFAR-100,mobilenetv4_m,MaxLogit,MaxLogit,False,0.7281
CIFAR-100,mobilenetv4_m,Energy,Energy,False,0.6831
