seed_idx,feat_dir,model,T2,T3,recall
1,/mnt/data1/asing725/viyog/results/multiseed/seed1/results/features,resnet50,0.9839,0.8965,0.5618
1,/mnt/data1/asing725/viyog/results/multiseed/seed1/results/features,densenet121,0.9817,0.8034,0.1685
1,/mnt/data1/asing725/viyog/results/multiseed/seed1/results/features,convnextv2_base,0.9599,0.7214,0.0034
1,/mnt/data1/asing725/viyog/results/multiseed/seed1/results/features,vit_base,0.731,0.5804,0.0036
1,/mnt/data1/asing725/viyog/results/multiseed/seed1/results/features,swin_tiny,0.985,0.8264,0.0461
1,/mnt/data1/asing725/viyog/results/multiseed/seed1/results/features,mobilenetv3_l,0.9817,0.8384,0.1105
2,/mnt/data1/asing725/viyog/results/multiseed/seed2/results/features,resnet50,0.9834,0.9258,0.6759
2,/mnt/data1/asing725/viyog/results/multiseed/seed2/results/features,densenet121,0.9806,0.7955,0.1294
2,/mnt/data1/asing725/viyog/results/multiseed/seed2/results/features,convnextv2_base,0.9637,0.7228,0.0062
2,/mnt/data1/asing725/viyog/results/multiseed/seed2/results/features,vit_base,0.7425,0.5725,0.0029
2,/mnt/data1/asing725/viyog/results/multiseed/seed2/results/features,swin_tiny,0.985,0.8166,0.0072
2,/mnt/data1/asing725/viyog/results/multiseed/seed2/results/features,mobilenetv3_l,0.9823,0.8568,0.203
3,/mnt/data1/asing725/viyog/results/multiseed/seed3/results/features,resnet50,0.9839,0.9204,0.7127
3,/mnt/data1/asing725/viyog/results/multiseed/seed3/results/features,densenet121,0.9815,0.7904,0.1232
3,/mnt/data1/asing725/viyog/results/multiseed/seed3/results/features,convnextv2_base,0.9583,0.6805,0.0061
3,/mnt/data1/asing725/viyog/results/multiseed/seed3/results/features,vit_base,0.7242,0.5703,0.0049
3,/mnt/data1/asing725/viyog/results/multiseed/seed3/results/features,swin_tiny,0.9853,0.8072,0.0083
3,/mnt/data1/asing725/viyog/results/multiseed/seed3/results/features,mobilenetv3_l,0.9818,0.8418,0.1401
